No.,Year,Date,Type,Title,Location,Details,date_start,date_end,date_likely,date_precision,date_certain,date_note,categories,type_inferred,cancelled,subject_groups,subjects,lat,lon,geo_precision
409,1880,July 30,Lecture,Hamlet,Norwich,"Noverre’s Rooms (Norfolk News, July 3, 1880, 3; August 7, 1880, 7: both BNA).",1880-07-30,1880-07-30,,day,TRUE,,lecture,FALSE,FALSE,Shakespeare,Hamlet,52.6285576,1.2923954,town
410,1880,August 23,Performances,Pilgrim’s Progress 2,Ilkley,Two performances (PP f.2; RJ).,1880-08-23,1880-08-23,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 2",53.9257254,-1.8244410,town
411,1880,August 26,Performance,Pilgrim’s Progress 2,Saltaire,(PP f.2; RJ).,1880-08-26,1880-08-26,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 2",53.8371089,-1.7906734,town
412,1880,August 28,Performance,Pilgrim’s Progress 2,Ben Rhydding,Sources have “Ben Rydding” (PP f.2; RJ).,1880-08-28,1880-08-28,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 2",53.9236684,-1.7977037,town
413,1880,August 30,Performance,Pilgrim’s Progress 2,Ilkley,(PP f.2; RJ).,1880-08-30,1880-08-30,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 2",53.9257254,-1.8244410,town
414,1880,September 3,Performance,Pilgrim’s Progress 2,Harrogate,"Octavia Hill portrayed Piety in place of Grace, who was ill (Hill 438-39; PP f.2; RJ).",1880-09-03,1880-09-03,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 2",53.9921491,-1.5391039,town
415,1880,September 21,Performance,Pilgrim’s Progress 2,Bradford,(PP f.2; RJ).,1880-09-21,1880-09-21,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 2",53.7944229,-1.7519186,town
416,1880,September [21],Performance,Pilgrim’s Progress 2,York,PP has separate entries for both Bradford and York on the same day (PP f.2; RJ).,1880-09-21,1880-09-21,,day,FALSE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 2",53.9656579,-1.0743052,town
417,1880,September 27,Performance,Pilgrim’s Progress 2,Leeds,(PP f.2; RJ).,1880-09-27,1880-09-27,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 2",53.7974185,-1.5437941,town
418,1880,September 30,Performance,Pilgrim’s Progress 2,Liverpool,(PP f.2; RJ).,1880-09-30,1880-09-30,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 2",53.3933411,-2.9166389,town
419,1880,October 5,Performance,Pilgrim’s Progress 2,Wrexham,"Public Hall (Wrexham Advertiser, September 25, 1880, 4: BNA; PP f.2; RJ).",1880-10-05,1880-10-05,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 2",53.0465084,-2.9937869,town
420,1880,October 6,Performances,Pilgrim’s Progress 2,Chester,Two performances in the day (PP f.2; RJ).,1880-10-06,1880-10-06,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 2",53.1908873,-2.8908955,town
421,1880,October 8,Performance,Pilgrim’s Progress 2,Buxton,(PP f.2; RJ).,1880-10-08,1880-10-08,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 2",53.2593422,-1.9100768,town
422,1880,October 11,Performances,Pilgrim’s Progress 2,Matlock,Two performances (PP f.2; RJ).,1880-10-11,1880-10-11,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 2",53.1374514,-1.5544694,town
423,1880,October 12,Performance,Pilgrim’s Progress 2,Chesterfield,(PP f.2; RJ).,1880-10-12,1880-10-12,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 2",53.2352134,-1.4264097,town
424,1880,October 13,Performances,Pilgrim’s Progress 2,Leamington,Two performances (PP f.2; RJ).,1880-10-13,1880-10-13,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 2",52.2913394,-1.5364040,town
425,1880,October 14,Performance,Pilgrim’s Progress 2,Coventry,(PP f.2; RJ).,1880-10-14,1880-10-14,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 2",52.4081812,-1.5104770,town
426,1880,October 16,Performances,Pilgrim’s Progress 2,Leamington,Two performances (PP f.2; RJ).,1880-10-16,1880-10-16,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 2",52.2913394,-1.5364040,town
427,1880,October 19,Lecture,Individual Development,Birmingham,"Lecture Hall, Perry Barr Institute; “Presidential Address” for opening night (Birmingham Daily Post, September 10, 1880, 4: BNA; Barr, 1880-1881, 8: BC).",1880-10-19,1880-10-19,,day,TRUE,,lecture,FALSE,FALSE,Survey lectures,Individual development,52.4948994,-1.8518439,town
428,1880,October 21,Performances,Pilgrim’s Progress 2,"Clifton, Bristol",[Clifton College]; two performances (PP f.2; RJ).,1880-10-21,1880-10-21,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 2",51.4615884,-2.6202846,town
429,1880,October 25,Performance,Pilgrim’s Progress 2,Bath,(PP f.2; RJ).,1880-10-25,1880-10-25,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 2",51.3813864,-2.3596963,town
430,1880,October 26,Performances,Pilgrim’s Progress 2,Bath,Two performances (PP f.2; RJ).,1880-10-26,1880-10-26,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 2",51.3813864,-2.3596963,town
431,1880,October 27,Performance,Pilgrim’s Progress 2,Bristol,RJ lists Bristol performances before and after Bath (RJ).,1880-10-27,1880-10-27,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 2",51.4430141,-2.5816622,town
432,1880,October 28,Performance,Pilgrim’s Progress 2,"Blackheath, London",Two performances in the day (PP f.2; RJ).,1880-10-28,1880-10-28,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 2",51.4662623,0.0086810,town
433,1880,November 1,Performance,Pilgrim’s Progress 2,"Streatham Hill, London",(PP f.2; RJ).,1880-11-01,1880-11-01,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 2",51.4406366,-0.1222490,town
434,1880,November 8,Lecture,King Lear,London,"Lecture Hall, James Street, Buckingham Gate (London Daily News, November 6, 1880, 4: BNA).",1880-11-08,1880-11-08,,day,TRUE,,lecture,FALSE,FALSE,Shakespeare,King Lear,51.5074456,-0.1277653,town
435,1881,[January],Lectures,Wordsworth,"Bordighera, ITL","MacDonald has delievered “two lectures on Wordsworth” to add some variety to the “not excessively lively at best” winter in Bordighera. Two lectures (Cambridge Independent Press, January 22, 1881, 8: BNA).",1881-01-01,1881-01-31,,month,FALSE,,lecture,FALSE,FALSE,Wordsworth,(unspecified),43.7939893,7.6731108,town
436,1881,[January],Performances,Tableaux Vivante,"Bordighera, ITL","“Dr. MacDonald . . . along with his family, has given some tableaux vivante to which he invited both the English and the Italian residents”(Cambridge Independent Press, January 22, 1881, 8: BNA).",1881-01-01,1881-01-31,,month,FALSE,,performance,FALSE,FALSE,Family entertainments,Tableaux Vivants,43.7939893,7.6731108,town
